geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
gene-SAOUHSC_00204	1726	1096	879	5744	10697	999
gene-SAOUHSC_00205	56	34	42	29	42	3
gene-SAOUHSC_00206	14558	13883	10741	133096	252640	57861
gene-SAOUHSC_00208	55	49	55	115	95	10
gene-SAOUHSC_00209	1897	1407	1003	1509	944	565
gene-SAOUHSC_00211	300	196	195	429	545	280
gene-SAOUHSC_00212	3	2	0	0	0	0
gene-SAOUHSC_00213	274	184	168	134	135	21
gene-SAOUHSC_00214	91	47	47	22	21	3
gene-SAOUHSC_00215	59	45	49	21	23	2
gene-SAOUHSC_00216	396	249	238	166	161	24
gene-SAOUHSC_00217	532	317	312	246	264	74
gene-SAOUHSC_00218	30	21	18	15	12	6
gene-SAOUHSC_00219	998	552	541	440	469	178
gene-SAOUHSC_00220	898	898	497	2494	3825	1241
gene-SAOUHSC_00221	1435	1287	849	3493	4435	531
gene-SAOUHSC_00222	2818	2168	1839	4953	6951	1171
gene-SAOUHSC_00223	2058	1705	1150	1685	2634	350
gene-SAOUHSC_00225	2894	2333	1928	3075	3306	523
gene-SAOUHSC_00226	6536	5046	4770	6435	9231	1304
gene-SAOUHSC_00227	15102	11409	11903	12880	20347	2386
gene-SAOUHSC_00228	33206	26130	27178	21506	32562	6698
gene-SAOUHSC_00229	712	490	480	1611	3816	503
gene-SAOUHSC_00230	1005	847	668	5269	7427	1088
gene-SAOUHSC_00231	214	132	118	558	984	70
gene-SAOUHSC_00232	130	196	120	341	2344	177
gene-SAOUHSC_00233	863	982	537	1057	4942	1698
gene-SAOUHSC_00234	1362	1048	921	794	995	64
gene-SAOUHSC_00235	637	372	360	123	245	17
gene-SAOUHSC_00236	1042	739	657	211	323	102
gene-SAOUHSC_00237	176	117	89	136	185	18
gene-SAOUHSC_00238	38	15	29	12	14	2
gene-SAOUHSC_00239	2492	2231	1241	1829	3605	945
gene-SAOUHSC_00240	987	920	542	712	1681	130
gene-SAOUHSC_00241	1999	1786	1000	1417	1749	849
gene-SAOUHSC_00242	896	824	595	1767	2159	557
